wav,time_s,spl_db
20260411_000400.wav,1775865840.000000,31.772313
20260411_000400.wav,1775865850.000000,23.655097
20260411_000400.wav,1775865860.000000,23.661996
20260411_000400.wav,1775865870.000000,26.019282
20260411_000400.wav,1775865880.000000,22.027736
20260411_000500.wav,1775865900.000000,22.390914
20260411_000500.wav,1775865910.000000,22.326733
20260411_000500.wav,1775865920.000000,25.998877
20260411_000500.wav,1775865930.000000,22.586994
20260411_000500.wav,1775865940.000000,22.460672
20260411_000600.wav,1775865960.000000,25.359619
20260411_000600.wav,1775865970.000000,22.068989
20260411_000600.wav,1775865980.000000,24.002988
20260411_000600.wav,1775865990.000000,29.987023
20260411_000600.wav,1775866000.000000,24.914045
20260411_000700.wav,1775866020.000000,25.455755
20260411_000700.wav,1775866030.000000,23.097578
20260411_000700.wav,1775866040.000000,22.191116
20260411_000700.wav,1775866050.000000,21.943040
20260411_000700.wav,1775866060.000000,30.564936
